,index,RMSE,MAE,R2
0,XGBoost,22730.366245766185,18379.166666666668,0.9817690273475503
1,RandomForest,17916.02511952172,14875.083333333334,0.988673902441114
2,LSTM,16554.583615019335,12961.166666666666,0.9903298436425307
3,LinearRegression,16221.040790693221,12433.0,0.9907155879704752
4,ARIMA,14959.893464683544,11265.335750585647,0.9835642876268827
